timestamp_ms,qw,qx,qy,qz,gx,gy,gz,ax,ay,az,gnss_fix_type,numSV,gnss_valid,gnss_num_sats,lat,lon,hmsl,gnss_hacc_m,gnss_vacc_m,gnss_vel_n_mps,gnss_vel_e_mps,gnss_vel_d_mps,gnss_sacc_mps,M1,M2,M3,M4,ekf_pwm_mean,ekf_is_armed,ekf_ground_motor_mode,motor_output_allowed,motor_on_detected,alignment_active,alignment_done,ekf_ready,gnss_ref_set,gnss_ref_ready,gnss_ref_age_ms,ekf_dt,ekf_dt_clamped,ekf_pos_n,ekf_pos_e,ekf_pos_d,ekf_vel_n,ekf_vel_e,ekf_vel_d,ekf_p_cov_n,ekf_p_cov_e,ekf_p_cov_d,ekf_v_cov_n,ekf_v_cov_e,ekf_v_cov_d,ekf_qw,ekf_qx,ekf_qy,ekf_qz,ekf_roll_deg,ekf_pitch_deg,ekf_yaw_deg,roll_deg,pitch_deg,yaw_deg,ekf_accel_body_x,ekf_accel_body_y,ekf_accel_body_z,ekf_accel_nav_n,ekf_accel_nav_e,ekf_accel_nav_d,acc_ned_n,acc_ned_e,acc_ned_d,accel_norm,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z,ekf_bias_acc_x,ekf_bias_acc_y,ekf_bias_acc_z,ekf_bias_gyro_x,ekf_bias_gyro_y,ekf_bias_gyro_z,ekf_gnss_pos_n,ekf_gnss_pos_e,ekf_gnss_pos_d,ekf_innov_pos_n,ekf_innov_pos_e,ekf_innov_pos_d,ekf_innov_vel_n,ekf_innov_vel_e,ekf_innov_vel_d,ekf_R_applied_gnss_pos_n,ekf_R_applied_gnss_pos_e,ekf_R_applied_gnss_pos_d,ekf_R_applied_gnss_vel_n,ekf_R_applied_gnss_vel_e,ekf_R_applied_gnss_vel_d,ekf_sigma_applied_gnss_pos_n,ekf_sigma_applied_gnss_pos_e,ekf_sigma_applied_gnss_pos_d,ekf_sigma_applied_gnss_vel_n,ekf_sigma_applied_gnss_vel_e,ekf_sigma_applied_gnss_vel_d,gnss_correction_accepted,gnss_update_executed,gnss_new_measurement,gnss_velocity_used,gnss_position_gate_passed,gnss_update_dt,gnss_last_update_age_ms,gnss_innov_gate_reject_count,ekf_zupt_applied,ekf_zupt_allowed,zupt_active,stationary_detected,delta_vel_gnss_update_n,delta_vel_gnss_update_e,delta_vel_gnss_update_d,delta_vel_zupt_update_n,delta_vel_zupt_update_e,delta_vel_zupt_update_d,tether_disturbance_candidate,raw_acc_norm_g,acc_ned_h,ekf_speed_h,delta_vel_gnss_update_xy,gyro_raw_norm,gyro_lpf_norm,gyro_corrected_norm,imu_fw_roll_deg,imu_fw_pitch_deg,ekf_imu_roll_diff_deg,ekf_imu_pitch_diff_deg,pitch_diff_rate_deg_s,accel_rotation_source,accel_rotation_source_used
11567,-0.030700,-0.023500,-0.022100,0.999008,0.000000,0.000000,0.000000,0.046000,0.042000,-0.998000,3,22,1,22,37.5417903,127.0795462,41.046,0.719000,1.659000,-0.002000,-0.009000,-0.005000,0.109000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,17,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.806082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.999942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450916,2.769078,2.450916,-2.769078,0.000000,0,0
11614,-0.030700,-0.023500,-0.022100,0.999008,0.000000,0.000000,0.000000,0.047000,0.044000,-0.999000,3,22,1,22,37.5417903,127.0795462,41.046,0.719000,1.659000,-0.002000,-0.009000,-0.005000,0.109000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,65,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.817167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.001072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450916,2.769078,2.450916,-2.769078,0.000000,0,0
11658,-0.030700,-0.023500,-0.022100,0.999008,0.000000,0.000000,0.000000,0.051000,0.042000,-0.998000,3,22,1,22,37.5417903,127.0795462,41.046,0.719000,1.659000,-0.002000,-0.009000,-0.005000,0.109000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,109,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.808460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450916,2.769078,2.450916,-2.769078,0.000000,0,0
11702,-0.030700,-0.023500,-0.022100,0.999008,0.000000,0.000000,0.000000,0.047000,0.043000,-1.000000,3,22,1,22,37.5417903,127.0795461,41.008,0.714000,1.647000,0.004000,-0.002000,0.000000,0.089000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,153,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.826528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.002027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450916,2.769078,2.450916,-2.769078,0.000000,0,0
11730,-0.030700,-0.023500,-0.022100,0.999008,0.000000,0.000000,0.000000,0.047000,0.043000,-0.998000,3,22,1,22,37.5417903,127.0795461,41.008,0.714000,1.647000,0.004000,-0.002000,0.000000,0.089000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,180,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.806954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450916,2.769078,2.450916,-2.769078,0.000000,0,0
11777,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.049000,0.044000,-1.000000,3,22,1,22,37.5417903,127.0795461,41.008,0.714000,1.647000,0.004000,-0.002000,0.000000,0.089000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,228,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.827893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.002166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,-0.243583,0,0
11825,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.043000,-1.001000,3,22,1,22,37.5417904,127.0795460,40.962,0.709000,1.636000,-0.001000,0.010000,0.005000,0.108000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,275,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.836779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.003072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
11848,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.046000,0.042000,-0.998000,3,22,1,22,37.5417904,127.0795460,40.962,0.709000,1.636000,-0.001000,0.010000,0.005000,0.108000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,299,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.806082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.999942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
11912,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.049000,0.043000,-0.998000,3,22,1,22,37.5417904,127.0795460,40.962,0.709000,1.636000,-0.001000,0.010000,0.005000,0.108000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,363,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.807896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
11936,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.042000,-0.999000,3,22,1,22,37.5417905,127.0795459,40.929,0.704000,1.624000,0.002000,-0.004000,-0.006000,0.084000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,387,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.816791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.001034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
11980,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.043000,-0.999000,3,22,1,22,37.5417905,127.0795459,40.929,0.704000,1.624000,0.002000,-0.004000,-0.006000,0.084000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,431,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.817206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.001076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
12004,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.043000,-1.000000,3,22,1,22,37.5417905,127.0795459,40.929,0.704000,1.624000,0.002000,-0.004000,-0.006000,0.084000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,455,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.826993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.002074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
12052,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.042000,-1.000000,3,22,1,22,37.5417906,127.0795458,40.883,0.699000,1.613000,0.019000,0.004000,0.005000,0.102000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,503,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.826576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.002032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
12097,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.042000,-1.001000,3,22,1,22,37.5417906,127.0795458,40.883,0.699000,1.613000,0.019000,0.004000,0.005000,0.102000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,548,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.836364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.003030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
12125,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.047000,0.042000,-1.001000,3,22,1,22,37.5417906,127.0795458,40.883,0.699000,1.613000,0.019000,0.004000,0.005000,0.102000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,575,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.835899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.002983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
12190,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.042000,-1.000000,3,22,1,22,37.5417906,127.0795457,40.853,0.694000,1.602000,0.001000,-0.004000,0.009000,0.120000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,641,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.826576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.002032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
12214,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.047000,0.042000,-0.999000,3,22,1,22,37.5417906,127.0795457,40.853,0.694000,1.602000,0.001000,-0.004000,0.009000,0.120000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,665,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.816324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
12258,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.043000,-0.999000,3,22,1,22,37.5417906,127.0795457,40.853,0.694000,1.602000,0.001000,-0.004000,0.009000,0.120000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,709,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.817206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.001076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
12302,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.041000,-1.000000,3,22,1,22,37.5417906,127.0795457,40.853,0.694000,1.602000,0.001000,-0.004000,0.009000,0.120000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,753,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.826171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.001991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
12332,-0.030700,-0.023600,-0.022100,0.999006,0.000000,0.000000,0.000000,0.048000,0.042000,-1.000000,3,22,1,22,37.5417907,127.0795456,40.811,0.690000,1.591000,0.008000,0.011000,0.008000,0.114000,1000,1000,1000,1000,1000.000000,0,0,0,0,1,0,0,0,0,783,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.826576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.002032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.450576,2.780526,2.450576,-2.780526,0.000000,0,0
